Date,Link,USDC
2019-02-06,-0.02786558,0.024382519
2019-02-07,0.005999757,0.002168638
2019-02-08,-0.049857053,-0.1346225
2019-02-09,0.060463801,0.000354003
2019-02-10,-0.074503949,-0.051318133
2019-02-11,-0.015084085,0.038255365
2019-02-12,-0.021622464,-0.011420452
2019-02-13,0.039751534,0.002294548
2019-02-14,-0.024623516,0.009723383
2019-02-15,0.011547798,-0.002272321
2019-02-16,0.00447053,-0.013986242
2019-02-17,-0.041554072,-0.08815999
2019-02-18,-0.060188797,-0.086661834
2019-02-19,-0.024368591,0.014215187
2019-02-20,-0.02012526,-0.034668785
2019-02-21,-0.020209293,0.023774182
2019-02-22,-0.000329327,-0.01612821
2019-02-23,-0.045485354,-0.071014206
2019-02-24,0.054665747,0.178540238
2019-02-25,0.113130512,-0.04383011
2019-02-26,-0.075656151,0.011750374
2019-02-27,-0.00630718,0.011882397
2019-02-28,-0.01145415,-0.002688174
2019-03-01,0.014928021,-0.000673174
2019-03-02,0.004717732,0.019340383
2019-03-03,0.010611835,0.017806179
2019-03-04,-0.003732508,0.036316662
2019-03-05,-0.02396835,-0.085249582
2019-03-06,-0.00287678,-0.005603021
2019-03-07,0.054808236,0.005466735
2019-03-08,0.048212797,0.026628792
2019-03-09,-0.001155735,-0.028538752
2019-03-10,0.061933222,0.012889399
2019-03-11,-0.050435539,0.02081185
2019-03-12,0.038681953,-0.00529522
2019-03-13,0.001922813,0.011612693
2019-03-14,0.009287147,-0.00118149
2019-03-15,-0.032608581,-0.033118262
2019-03-16,-0.041583052,-0.033269684
2019-03-17,0.010196738,0.01601371
2019-03-18,0.002894358,0.007980229
2019-03-19,-0.003474236,-0.007013712
2019-03-20,0.005495314,-0.004703287
2019-03-21,-0.026894342,0.030586765
2019-03-22,0.006202944,-0.010137277
2019-03-23,-0.01184848,-0.003265753
2019-03-24,-0.006876989,0.006114565
2019-03-25,0.0588405,0.018388546
2019-03-26,-0.03219594,-0.002396805
2019-03-27,0.034738673,-0.042067048
2019-03-28,0.01872871,0.013122642
2019-03-29,-0.030650508,-0.04018179
2019-03-30,-0.00917964,0.00796817
2019-03-31,0.03344035,0.004383801
2019-04-01,0.091298902,0.000987237
2019-04-02,-0.096328251,-0.156714814
2019-04-03,-0.020088382,0.02330424
2019-04-04,-0.017878216,0.02198591
2019-04-05,0.01444277,-0.051741252
2019-04-06,-0.012408181,0.003313456
2019-04-07,-0.039685397,-0.056302599
2019-04-08,-0.049228327,-0.031280318
2019-04-09,-0.038497395,0.026368889
2019-04-10,-0.032174357,-0.009363199
2019-04-11,-0.00649242,0.071899541
2019-04-12,0.030387213,0.005436139
2019-04-13,0.091463264,0.002788944
2019-04-14,-0.047546628,-0.025385021
2019-04-15,-0.028407333,0.048221871
2019-04-16,-0.012189247,-0.038855688
2019-04-17,-0.00099486,-0.000832709
2019-04-18,-0.00033184,-0.043588786
2019-04-19,-0.016396553,0.002780676
2019-04-20,0.001011634,-0.001389372
2019-04-21,-0.009481954,0.022511476
2019-04-22,-0.013703537,-0.009218228
2019-04-23,-0.032249553,0.004278264
2019-04-24,0.029486166,0.031268306
2019-04-25,0.000691563,0.084691575
2019-04-26,-0.031247057,-0.006713483
2019-04-27,-0.002857145,-0.012788095
2019-04-28,0.021932255,0.012328712
2019-04-29,-0.022647819,0.006412236
2019-04-30,0.047869401,-0.051045025
2019-05-01,0.009507712,0.010356183
2019-05-02,-0.033680159,-0.001745063
2019-05-03,0.060686301,-0.036379406
2019-05-04,-0.006269613,0.016818096
2019-05-05,0.022583189,0.004362233
2019-05-06,0.074500868,-0.059617552
2019-05-07,-0.041711045,0.029007093
2019-05-08,0.080307675,-0.018792499
2019-05-09,0.085806412,-0.00118634
2019-05-10,0.032105067,-0.012113088
2019-05-11,-0.102425079,-0.107728194
2019-05-12,-0.000284616,0.018373469
2019-05-13,-0.062547905,-0.044127627
2019-05-14,0.136859183,-0.102574635
2019-05-15,-0.106712145,-0.137731838
2019-05-16,0.02669146,-0.060406387
2019-05-17,0.04642892,0.080409523
